@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
965,'2023/09/27 21:15:25:988',8,611,301,0.26,0.4,0.36
966,'2023/09/27 21:15:26:052',8,604,301,0.26,0.4,0.36
967,'2023/09/27 21:15:26:118',8,603,304,0.26,0.4,0.36
968,'2023/09/27 21:15:26:196',8,600,304,0.26,0.4,0.36
969,'2023/09/27 21:15:26:297',8,599,304,0.33,0.4,0.36
970,'2023/09/27 21:15:26:392',8,602,303,0.39,0.4,0.36
971,'2023/09/27 21:15:26:487',8,608,289,0.41,0.4,0.36
972,'2023/09/27 21:15:26:563',8,607,281,0.47,0.4,0.36
973,'2023/09/27 21:15:26:654',8,607,281,0.6,0.4,0.36
974,'2023/09/27 21:15:26:728',8,593,275,0.6,0.4,0.36
975,'2023/09/27 21:15:26:822',8,562,252,0.59,0.4,0.36
976,'2023/09/27 21:15:26:897',8,600,253,0.58,0.4,0.36
977,'2023/09/27 21:15:26:988',8,679,261,0.53,0.4,0.36
978,'2023/09/27 21:15:27:082',8,738,263,0.48,0.4,0.36
979,'2023/09/27 21:15:27:158',8,839,271,0.46,0.4,0.36
980,'2023/09/27 21:15:27:266',8,926,281,0.44,0.4,0.36
981,'2023/09/27 21:15:27:372',8,1000,286,0.41,0.4,0.36
982,'2023/09/27 21:15:27:462',8,1017,289,0.37,0.4,0.36
983,'2023/09/27 21:15:27:554',8,1019,296,0.3,0.4,0.36
984,'2023/09/27 21:15:27:645',8,994,306,0.29,0.4,0.36
985,'2023/09/27 21:15:27:723',8,879,303,0.29,0.4,0.36
986,'2023/09/27 21:15:27:830',8,744,302,0.3,0.4,0.36
987,'2023/09/27 21:15:27:920',8,589,304,0.47,0.4,0.36
988,'2023/09/27 21:15:28:002',8,515,303,0.66,0.4,0.36
989,'2023/09/27 21:15:28:091',8,443,294,0.74,0.4,0.36
990,'2023/09/27 21:15:28:189',8,417,284,0.8,0.4,0.36
991,'2023/09/27 21:15:28:292',8,422,282,0.8,0.4,0.36
992,'2023/09/27 21:15:28:408',8,448,281,0.8,0.4,0.36
993,'2023/09/27 21:15:28:485',8,475,275,0.78,0.4,0.36
