@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute mfp-1 numeric
@attribute mfp-2 numeric
@attribute mfp-3 numeric
@attribute mfp-4 numeric
@attribute mfp-5 numeric
@attribute mfp-6 numeric
@attribute mfp-7 numeric
@attribute mfp-8 numeric
@attribute mfp-9 numeric
@attribute mfp-10 numeric
@attribute mfp-11 numeric
@attribute mfp-12 numeric
@attribute mfp-13 numeric
@attribute mfp-14 numeric
@attribute mfp-15 numeric
@attribute mfp-16 numeric
@attribute mfp-17 numeric
@attribute mfp-18 numeric
@attribute mfp-19 numeric
@attribute mfp-20 numeric
@attribute mfp-21 numeric
@attribute mfp-22 numeric
@attribute mfp-23 numeric
@attribute mfp-24 numeric
@attribute mfp-25 numeric
@attribute mfp-26 numeric
@attribute mfp-27 numeric
@attribute mfp-28 numeric
@attribute mfp-29 numeric
@attribute mfp-30 numeric
@attribute mfp-31 numeric
@attribute mfp-32 numeric
@attribute mfp-33 numeric
@attribute mfp-34 numeric
@attribute mfp-35 numeric
@attribute mfp-36 numeric
@attribute mfp-37 numeric
@attribute mfp-38 numeric
@attribute mfp-39 numeric
@attribute mfp-40 numeric
@attribute mfp-41 numeric
@attribute mfp-42 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}

@data
666,'2022/09/18 20:05:52:328',25,975.144531,597.044556,924.378723,551.965759,901.211914,493.867889,901.693665,445.548523,902.515991,404.685913,983.293579,438.323151,992.14209,377.891449,1000.245605,340.131439,1010.815186,307.154175,1025.67627,448.329407,1060.570679,389.942688,1082.452271,354.024567,1101.14563,322.087311,1056.153687,469.59729,1093.398071,416.36261,1112.042114,382.331604,1127.289795,350.247406,1079.586548,500.28125,1123.671753,465.574188,1151.967896,442.332581,1176.063843,418.064331,1,?,?
667,'2022/09/18 20:05:52:425',25,973.973267,595.363525,923.739258,551.61377,900.985413,494.237305,901.944519,446.723572,902.698486,405.743652,983.433533,439.302734,992.132446,378.134003,1000.063538,340.158112,1010.699097,307.290314,1025.404541,449.107361,1061.352905,390.181671,1083.332886,354.116638,1101.687256,322.471954,1055.454346,469.615143,1093.926025,416.558167,1112.894165,382.503662,1128.140381,350.323181,1078.483643,499.108704,1123.519043,464.613098,1151.969482,441.552856,1175.861084,417.180359,1,?,?
668,'2022/09/18 20:05:52:525',25,974.595337,595.015381,923.640503,550.586487,900.505737,493.127869,902.0755,445.750061,901.921448,405.386505,982.865601,439.101807,991.739868,378.549683,999.688477,340.279663,1009.939575,306.931366,1024.887939,448.91745,1061.14978,390.244507,1083.076416,354.176575,1101.498535,322.175964,1055.105835,469.515289,1093.772217,416.895569,1113.296021,383.110687,1128.961792,351.11261,1078.543945,499.01886,1123.449829,464.388672,1152.101074,441.775024,1176.128052,418.025757,1,?,?
669,'2022/09/18 20:05:52:588',25,974.940735,593.958557,923.726807,550.308716,901.371765,491.894287,903.489441,444.259125,902.434387,403.968262,983.209229,439.859741,991.774536,378.732117,999.919983,340.10553,1010.444397,306.881226,1025.270142,449.383606,1060.442505,390.380035,1082.409424,354.155731,1100.879639,322.76355,1055.79541,469.618652,1092.72229,416.665985,1111.828735,382.702423,1127.408569,351.062683,1079.700806,498.461243,1124.297485,463.206757,1153.159424,440.999695,1177.544189,418.100159,1,?,?
670,'2022/09/18 20:05:52:650',25,976.950317,593.598022,925.652405,550.57196,901.617798,493.005127,902.356262,444.972595,902.435913,404.323212,982.558716,440.824188,991.502136,380.44693,999.730286,341.855621,1010.33313,308.194427,1024.716553,450.034637,1060.533936,390.847198,1082.490356,354.445984,1100.865479,322.445892,1055.189209,470.132355,1093.561523,416.69989,1112.75415,382.890198,1128.055054,350.957581,1078.632202,499.170502,1123.783081,464.245483,1152.480713,441.837341,1176.60376,418.367828,1,?,?
671,'2022/09/18 20:05:52:724',25,978.718262,594.389893,925.650269,550.221252,901.659058,491.8508,902.69397,442.989136,901.674133,401.826202,982.858643,441.552124,991.50824,380.138275,999.697205,341.900635,1010.311157,308.665924,1025.030273,450.385864,1060.536621,390.753296,1083.125732,355.073608,1102.566284,323.848053,1055.734741,470.235992,1093.36792,415.620789,1112.448608,382.166718,1128.088745,350.823242,1080.101929,499.332184,1124.362061,463.642365,1152.509766,440.979462,1176.329834,417.175476,1,?,?
672,'2022/09/18 20:05:52:780',25,978.096191,596.191223,925.401978,552.479126,901.775513,494.550934,902.502747,445.633759,901.912109,403.1922,982.855469,441.332642,991.979492,379.621185,1000.309753,341.457214,1011.10144,308.407257,1024.801514,450.325226,1060.499023,390.877625,1082.858398,354.623779,1101.873901,322.922211,1054.972656,470.426941,1093.629272,416.077209,1112.712524,382.154175,1128.198364,350.283936,1078.37915,499.738281,1123.681885,464.122955,1152.448486,440.882843,1176.686523,416.541809,1,?,?
673,'2022/09/18 20:05:52:849',25,976.192261,595.093018,923.778137,551.39386,901.856323,493.770599,903.338318,445.039459,902.138733,402.940155,983.249878,439.470215,992.006897,378.592987,999.915283,340.909119,1010.454102,308.246918,1025.599243,448.422699,1060.727051,389.320587,1082.846069,353.556183,1101.785767,322.733948,1055.907959,469.163239,1093.806519,415.180634,1112.364502,381.661621,1127.582397,350.326569,1079.366699,499.349426,1124.633301,464.389984,1153.212646,441.0755,1177.535522,416.519043,1,?,?
674,'2022/09/18 20:05:52:925',25,974.709167,595.782043,924.50061,551.671509,902.430908,493.251617,902.824707,445.011047,901.926208,403.735413,982.750977,438.540344,991.488586,378.015778,999.618164,340.049896,1010.46759,307.443909,1024.601196,448.156708,1060.569336,388.33667,1082.958496,352.146271,1101.806885,321.195099,1054.880127,469.464691,1093.38269,415.347565,1112.611328,381.471924,1128.482178,350.124481,1077.91394,500.23819,1123.16333,464.927856,1152.074585,441.894958,1176.770264,417.945557,1,?,?
675,'2022/09/18 20:05:52:985',25,973.737183,597.283691,923.890991,553.129272,901.699158,495.148712,902.350525,446.711182,902.314819,404.691772,982.18927,439.995575,991.104004,379.06189,998.985962,340.550781,1009.641479,307.043304,1024.043091,449.65329,1059.988892,389.947662,1082.727539,353.947571,1102.026489,322.655121,1054.169189,470.939819,1091.887207,417.340057,1111.407104,383.37088,1127.622314,351.313171,1077.408936,501.579041,1122.023926,466.199646,1151.213745,443.62442,1176.140503,419.80661,1,?,?
676,'2022/09/18 20:05:53:053',25,974.201599,597.709351,923.751099,552.990234,900.844971,495.11853,901.195129,446.803284,900.966858,404.818695,981.664124,440.132477,990.909668,379.170807,999.014038,341.175781,1009.838135,307.966522,1023.579102,449.84137,1059.352539,390.629028,1082.181885,354.230377,1101.799561,321.96521,1053.955811,470.73407,1091.803223,417.541931,1111.538574,383.589264,1127.766968,351.447449,1077.566772,500.812225,1122.154541,465.65921,1151.114746,442.966095,1175.648071,419.152893,1,?,?
677,'2022/09/18 20:05:53:124',25,974.720947,597.592102,923.38623,553.588989,900.634766,495.110626,901.073669,446.431793,900.496765,404.125,982.986816,438.325104,991.713196,377.167206,999.741272,339.812866,1010.688171,307.590485,1024.908447,448.54599,1060.2677,389.75943,1082.880371,353.890137,1102.147949,322.522858,1054.984375,470.247803,1092.60437,417.545868,1111.59436,384.210693,1127.02063,352.72049,1078.067749,501.017456,1122.716553,465.606201,1151.464355,442.912659,1175.916016,418.897888,1,?,?
678,'2022/09/18 20:05:53:180',25,976.327209,599.610718,923.676514,555.270752,899.251648,496.909424,899.656433,447.19342,901.051636,403.890381,982.404541,440.921692,991.241943,379.017151,999.645874,340.96524,1010.94519,307.728546,1024.933105,450.61441,1060.142212,391.110413,1082.469727,354.945313,1101.939453,322.868347,1055.039063,471.988617,1092.552002,418.602051,1111.876587,384.592285,1128.033203,352.186188,1078.150757,502.66687,1121.924805,466.733582,1150.410889,443.847687,1175.019653,419.49585,1,?,?
679,'2022/09/18 20:05:53:250',25,974.174866,597.440735,922.151794,552.882385,899.975525,494.192047,901.910706,445.522156,901.281616,403.400635,981.235046,439.542999,990.7547,378.01712,998.977417,340.465179,1010.283569,307.763702,1023.4198,449.344635,1059.069946,390.346741,1082.043823,354.810669,1102.054199,323.786377,1053.638428,470.545502,1091.755981,417.540131,1111.133545,384.115173,1127.533081,352.924377,1076.979858,500.625305,1122.043823,465.483673,1151.201416,442.510925,1176.44458,418.128204,1,?,?
680,'2022/09/18 20:05:53:322',25,974.18689,596.928833,922.473083,551.948303,900.31366,492.785126,901.907288,444.516022,900.853638,402.974091,981.821777,438.518372,991.657471,377.309174,999.880615,339.961914,1010.803589,307.594543,1024.125366,448.595093,1059.832153,389.666168,1082.108765,354.252472,1101.296387,323.443542,1054.420044,469.767334,1093.216675,416.488342,1112.482422,383.127045,1128.274658,352.096283,1077.784912,499.975464,1122.858643,465.058685,1151.268066,442.301727,1175.436035,418.576782,1,?,?
681,'2022/09/18 20:05:53:393',25,973.840088,596.175598,923.512878,551.772217,901.077637,493.017944,901.939209,445.312866,902.43811,405.111694,981.72821,438.44162,991.190247,377.839355,999.480103,340.360565,1010.447388,308.10083,1023.832153,448.357544,1059.372437,389.671661,1081.654175,354.322601,1100.781494,323.495148,1054.35083,469.260956,1091.912964,415.869934,1110.608765,382.508789,1126.030151,351.289398,1078.013062,499.28772,1121.970459,464.672241,1150.164307,442.048004,1174.157227,418.305206,1,?,?
682,'2022/09/18 20:05:53:484',25,972.794556,596.512878,922.418213,552.041382,899.42395,493.647766,900.651855,445.572754,901.849304,403.859131,981.018127,440.752808,990.55658,379.788574,998.775085,341.431549,1009.799744,308.105469,1022.901062,450.800415,1058.56665,391.894562,1080.819458,355.108643,1100.046997,322.438293,1053.27417,471.467834,1092.016479,417.982666,1111.47229,383.439514,1127.313965,350.444,1077.036865,501.069336,1122.13855,465.456207,1151.165283,442.161346,1175.650146,417.722351,1,?,?
